entrez_id,PredictionScore
862,0.752
9863,0.725
288,0.705
3751,0.697
2892,0.694
1641,0.687
10659,0.682
55870,0.675
4300,0.672
23543,0.662
23077,0.661
4133,0.66
22999,0.652
23253,0.651
286205,0.648
23174,0.646
2898,0.646
157922,0.637
51773,0.637
1006,0.635
9747,0.632
10658,0.631
9472,0.628
55206,0.627
2555,0.627
23112,0.625
56853,0.625
8609,0.622
348980,0.62
51322,0.62
2893,0.62
2186,0.614
10771,0.613
26115,0.613
4205,0.612
27445,0.61
5789,0.608
23369,0.607
9659,0.606
64864,0.605
7337,0.605
8867,0.603
9378,0.6
259232,0.6
23023,0.598
23271,0.598
10499,0.598
151742,0.596
23131,0.596
57575,0.595
56776,0.595
9901,0.594
80034,0.594
80315,0.592
55607,0.592
23332,0.591
26053,0.59
161357,0.589
130507,0.588
24149,0.585
775,0.585
56977,0.584
353274,0.584
4659,0.583
54715,0.581
10724,0.581
23365,0.58
55704,0.58
79646,0.579
23518,0.578
490,0.577
6304,0.577
4325,0.577
8648,0.577
23389,0.575
23095,0.575
287,0.575
4649,0.574
6328,0.573
29767,0.573
9698,0.572
56252,0.572
9736,0.572
49855,0.572
2891,0.571
3800,0.571
27125,0.57
22849,0.57
1496,0.57
253959,0.568
10152,0.567
7804,0.566
9743,0.566
23040,0.565
6323,0.565
26039,0.564
57498,0.563
781,0.563
5362,0.562
80790,0.562
57282,0.562
3796,0.562
1008,0.562
51663,0.56
63974,0.559
8927,0.559
10690,0.558
26036,0.558
9379,0.554
23522,0.554
22873,0.554
546,0.553
7182,0.553
80821,0.553
22871,0.552
905,0.552
151354,0.552
2915,0.551
3423,0.55
10716,0.55
2917,0.55
9852,0.55
56907,0.548
23002,0.547
9462,0.547
9892,0.547
22990,0.546
51361,0.545
27032,0.545
9043,0.543
23091,0.543
8715,0.542
10846,0.54
10765,0.54
10396,0.54
9497,0.539
84726,0.539
1740,0.538
7750,0.537
53616,0.537
84251,0.537
6326,0.535
89795,0.534
57688,0.532
22828,0.532
5565,0.531
57551,0.53
23426,0.53
22986,0.53
51101,0.53
23033,0.53
23230,0.529
8499,0.529
84162,0.528
10154,0.528
9213,0.528
23284,0.527
8204,0.527
23499,0.527
5332,0.527
23301,0.527
4131,0.526
81832,0.525
9729,0.525
2259,0.525
5649,0.525
6311,0.525
1795,0.525
81609,0.524
80351,0.523
23671,0.523
160518,0.522
2823,0.522
50810,0.521
55512,0.521
4330,0.52
143279,0.519
27332,0.519
25957,0.519
9750,0.519
10718,0.518
4781,0.518
10814,0.517
25831,0.517
22841,0.517
57465,0.516
2557,0.516
55885,0.516
1600,0.516
81846,0.515
5108,0.515
6262,0.515
54542,0.514
9369,0.514
2897,0.513
57634,0.513
10982,0.512
165215,0.512
5178,0.512
23122,0.512
81539,0.511
54332,0.51
23025,0.51
26047,0.51
23036,0.51
8925,0.506
57459,0.505
2982,0.505
22941,0.505
7342,0.505
26512,0.505
9778,0.504
2890,0.504
283209,0.504
56479,0.504
4745,0.504
9223,0.503
29978,0.503
2115,0.503
107,0.502
23637,0.502
221037,0.502
55435,0.501
9859,0.5
9759,0.5
8622,0.5
6263,0.5
55082,0.499
23168,0.498
11069,0.498
25758,0.498
323,0.497
9481,0.497
9829,0.497
26045,0.496
3778,0.496
23592,0.495
23261,0.495
7025,0.495
27253,0.494
340533,0.493
9873,0.493
58517,0.492
120114,0.492
9877,0.492
7150,0.491
22864,0.49
9202,0.49
83992,0.49
5930,0.489
55284,0.489
22843,0.487
10915,0.487
29942,0.487
9495,0.486
4857,0.486
54704,0.486
89796,0.486
124925,0.486
5801,0.485
9693,0.485
1993,0.485
55680,0.485
79884,0.485
10521,0.485
26137,0.485
114815,0.485
339287,0.485
5800,0.484
2558,0.484
6860,0.483
6711,0.483
6546,0.483
51046,0.483
51347,0.482
51631,0.482
22876,0.482
23390,0.481
8851,0.481
23316,0.481
3631,0.481
8825,0.481
9819,0.48
23476,0.48
54904,0.48
53353,0.48
84458,0.48
114088,0.48
4760,0.48
6925,0.48
81566,0.48
8707,0.479
577,0.479
9611,0.479
55167,0.479
9520,0.478
23504,0.478
56134,0.477
54477,0.477
84937,0.476
8030,0.476
152006,0.476
285704,0.476
80205,0.475
1995,0.475
4978,0.475
26278,0.475
6529,0.475
23613,0.474
11215,0.474
10752,0.474
84186,0.474
5101,0.473
57478,0.473
54800,0.473
1607,0.473
51306,0.473
8745,0.473
221687,0.473
10363,0.472
6314,0.472
23186,0.471
5529,0.471
54329,0.47
2562,0.47
26122,0.47
7267,0.469
26033,0.469
22982,0.469
340481,0.469
23201,0.469
23379,0.469
6334,0.469
9857,0.468
4858,0.467
80314,0.467
79699,0.466
51747,0.466
9295,0.466
10777,0.465
146057,0.465
54413,0.465
57569,0.465
114798,0.465
57614,0.465
51105,0.465
54778,0.465
23648,0.465
57717,0.464
54665,0.464
2744,0.464
81706,0.464
9575,0.464
55122,0.463
23099,0.463
7216,0.463
23327,0.463
9699,0.463
23285,0.462
